TOT_POP,MEDHHINC_2018,Total Hospitals (2019),Obesity_prevalence,diabetes_prevalence,Child_Poverty_Index
8145.0,48529.0,0.148416766,37.3,12.7,26.25
8743.0,47049.0,0.174105012,34.4,13.6,19.950000000000003
34709.0,55245.0,0.794055733,37.2,11.1,17.9
153337.625,65280.0,2.9057676592500004,35.8,12.0,9.75
132328.0,61508.0,1.942169424,32.8,10.0,11.1
9404.0,47674.0,0.4957371,26.6,10.1,16.55
23537.0,40909.0,0.687251582,40.4,14.5,27.4
6666.0,42522.0,0.096659891,34.4,11.7,17.5
153337.625,80189.0,2.9057676592500004,37.9,10.2,13.65
2313.0,51327.0,0.118681397,38.3,12.7,13.35
15841.0,51131.0,0.178538652,34.4,13.4,18.9
153337.625,44776.0,2.9057676592500004,43.3,15.0,29.5
73901.0,48763.0,0.902237396,35.4,12.5,22.8
153337.625,61652.0,2.9057676592500004,22.5,13.1,16.2
153337.625,63310.0,2.9057676592500004,34.7,12.8,20.95
153337.625,79719.0,2.9057676592500004,30.4,11.5,14.6
3603.0,41899.0,0.1720131,39.7,14.2,18.05
48467.0,70495.0,0.70279252,28.0,12.0,10.9
151260.0,64387.0,2.9057676592500004,28.4,7.4,13.7
1825.0,47097.0,0.087973781,36.6,12.4,19.2
73055.0,55879.0,1.671316995,31.2,10.4,12.6
34210.0,57934.0,1.633241227,33.4,11.2,13.2
28606.0,46600.0,0.948255668,37.3,13.2,18.1
30233.0,58307.0,1.517571144,27.8,9.1,10.35
20705.0,35636.0,0.285396847,39.7,16.4,32.55
25825.0,38849.0,0.438681036,43.8,17.0,33.95
40011.0,53387.0,0.905584548,33.5,10.6,13.05
44176.0,42439.0,1.038062377,42.2,16.2,26.05
7649.0,40468.0,0.09338458,32.6,15.2,23.95
2279.0,33908.0,0.03141364,38.4,22.2,40.15
11372.0,55343.0,0.165530782,36.1,13.7,20.0
153337.625,81315.0,2.682314908,34.7,10.1,8.4
36748.0,38418.0,0.75933837,37.7,17.3,32.15
8313.0,51255.0,0.165542144,35.0,13.1,25.2
7176.0,46141.0,0.104453824,31.4,14.3,19.25
153337.625,38409.0,2.9057676592500004,32.1,12.8,32.9
22423.0,42785.0,0.309077687,37.7,17.5,31.900000000000002
4909.0,47869.0,0.076708997,25.6,10.0,19.15
16841.0,49716.0,0.247174258,36.2,12.6,23.4
24578.0,37901.0,0.779149999,38.5,15.3,26.3
24133.0,58380.0,0.476033185,35.9,13.7,13.1
26746.0,38097.0,0.523323159,40.1,16.9,33.45
27086.0,57705.0,0.449523938,34.7,12.1,16.549999999999997
41755.0,48689.0,1.294849133,32.2,13.1,17.1
7060.0,61219.0,0.181107372,31.1,10.8,10.85
68192.0,54149.0,0.982366097,37.6,11.0,14.4
64623.0,41541.0,1.5185328,39.6,16.1,25.549999999999997
