MEDHHINC_2018,Obesity_prevalence,diabetes_prevalence,Percent_Pop_Aged_60_plus,Percent_Higher_Education,Child_Poverty_Index
110601.0,16.8,8.8,21.238756714838022,59.49394603223123,11.0
63274.0,31.8,8.5,17.85141584167923,39.43135880472043,12.649999999999999
52506.0,34.2,12.4,22.498334669361302,34.955007846812165,21.45
42542.0,38.6,14.0,23.12449630330425,28.67479589333894,22.700000000000003
38242.0,27.0,13.5,41.54449121788358,47.06053128175352,34.849999999999994
39574.0,42.2,19.0,26.691664263051628,26.241707528122294,29.05
60908.0,40.4,13.3,21.885893306270134,34.94241715571636,14.25
27767.0,45.4,22.4,24.464614948234292,28.27967664161112,53.0
38879.0,37.7,14.4,26.102186254378545,25.981398719652134,26.35
49082.0,34.6,14.4,32.184502552688244,39.143447422177154,23.95
39491.0,35.4,15.6,23.656230300483294,27.35308538208307,29.6
50671.0,38.7,13.5,14.178145087235997,22.580348943985307,17.9
42821.0,39.6,14.3,29.589307707512884,33.928870102026856,25.55
43591.0,38.5,16.3,23.524652579478396,29.55929944793451,33.15
51525.0,38.4,13.0,27.204263911374678,39.34113110072217,15.950000000000001
51911.0,35.2,11.1,31.07463256346631,41.973659095247186,12.85
51674.0,38.9,15.1,24.509688784497946,26.071638285378747,20.450000000000003
51868.0,39.9,13.5,22.610812576076952,28.028976041326487,19.049999999999997
44659.0,29.4,11.3,35.832856325128795,43.50314825414997,9.55
51859.0,36.8,13.9,24.961969298852164,24.574747614437836,20.95
36908.0,42.3,20.3,27.27982815856278,29.56453817613747,34.7
58035.0,35.3,13.1,27.240511637659885,36.39022855944643,19.2
45661.0,39.1,15.6,22.881880024737168,25.412286126571843,21.8
52086.0,35.6,12.4,34.45954369779329,44.43336242363795,18.299999999999997
82814.0,28.2,9.0,22.046779442795323,40.87836629591216,6.95
84381.0,28.0,8.2,14.489086272045673,41.87846340624316,6.050000000000001
28524.0,45.6,25.6,30.171261994412728,27.669136402283495,43.25
52557.0,34.0,12.0,18.997563555772555,35.76116145152721,20.4
65635.0,32.4,10.9,23.07326950478714,34.19993500487463,13.350000000000001
66607.0,31.3,11.0,22.319446815775994,39.730237322861534,14.05
53469.0,34.7,11.9,26.76595959023567,36.02437934052373,22.0
53188.0,36.8,12.3,37.42189308030549,42.69844943300162,17.95
61053.0,33.2,11.0,20.94131984580703,36.36898566340114,14.75
43079.0,33.8,10.8,22.40677814539927,36.09049450058124,21.1
28024.0,49.9,24.0,23.76864621446665,27.258654658035464,51.4
58715.0,35.0,13.0,33.289531318440645,46.035917652212,13.149999999999999
51559.0,39.8,13.0,19.52435749904104,25.81511315688531,19.35
37370.0,38.5,14.5,24.055226495369983,24.743472094769334,34.2
33160.0,44.2,20.0,17.167019027484145,17.30091613812544,47.8
30691.0,38.0,16.5,29.317453046266607,24.583905939838143,40.35
59732.0,32.0,12.4,28.633887614678898,37.31543864678899,17.6
67897.0,36.5,10.2,25.47059099657325,42.200629019386945,7.7
84170.0,23.9,9.7,21.796144856381034,43.640352681126295,12.350000000000001
49073.0,35.8,13.6,28.546358584381398,26.845777796348138,18.6
44040.0,36.5,14.5,24.476141801793432,27.71298920534622,21.9
49507.0,35.8,12.3,29.066959385290893,38.741309915843395,18.85
42307.0,37.6,15.0,27.304259353466215,25.394256116172592,29.9
55202.0,38.2,12.4,23.974429098865034,28.03056201285382,13.899999999999999
50531.0,29.0,8.4,13.087620078610703,32.40440503229919,21.05
39506.0,39.1,18.8,39.53421506612996,39.64922369177689,36.650000000000006
62343.0,35.6,9.9,18.781974587192767,41.28924375774402,11.85
66849.0,36.3,12.9,19.712418300653596,32.0,12.7
41455.0,36.2,14.5,27.171789863267193,26.729721394057776,20.75
