TOT_POP,White-alone pop,MEDHHINC_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Hospitals (2019),Population Aged 60+,COUNTY_NAME,STATE_NAME,Obesity_prevalence,diabetes_prevalence,Percent_Pop_Aged_60_plus,Racial_Diversity_Index,Percent_Higher_Education,Minority_Population,Child_Poverty_Index
37820,33070,47425,284.4,0.555081673,9508,36,13,38.2,12.1,25.89899524061343,2,39.06927551560021,4750,23.95
15951,15014,46176,227.6,0.761526771,4042,660,16,37.8,13.5,26.869788727979437,1,40.49275907466616,937,22.1
17821,17254,34648,230.9,0.4187638,4680,56,17,38.4,16.8,27.316087761629536,1,27.467594411088044,567,29.6
8929,8530,55322,218.2,0.333831937,2512,610,15,36.5,10.6,29.15220069436667,1,45.268227125097994,399,13.649999999999999
16433,14076,39254,217.1,0.339561539,4604,28,0,34.8,15.5,28.235866853283024,2,29.142578956976816,2357,38.25
20046,14553,41127,207.6,0.585318657,5094,110,3,37.9,16.4,26.848249027237355,2,29.452259802454357,5493,28.75
350611,332230,58398,320.5,5.447900533,103773,1405,38,31.0,11.3,30.898346030215823,1,42.11134277019261,18381,11.600000000000001
45754,29234,39046,229.5,0.620957344,10606,1415,40,39.3,17.2,25.30052017309962,2,24.78253267473882,16520,30.200000000000003
19383,15772,55514,386.0,0.160383126,6220,285,20,32.6,12.9,34.52509931383171,2,42.692049734303254,3611,18.45
445384,325718,84470,306.5,4.099613404,98530,1124,30,30.6,10.4,23.701794406624398,3,45.87120327627396,119666,7.550000000000001
30267,26237,42532,253.1,0.514135873,7883,1490,42,37.2,16.0,27.591105824825718,2,27.260712987742426,4030,24.950000000000003
10783,7386,52814,263.2,0.121531613,4693,1089,46,30.2,16.0,45.72011499582677,2,46.53621441157377,3397,24.1
13442,13264,35317,230.9,0.315864598,3018,35,17,41.3,17.0,24.46064573724148,1,22.013093289689035,178,35.2
181827,163760,46633,279.6,1.650171114,30768,178,4,36.4,14.2,17.951679343551838,1,26.757302270839865,18067,30.6
6544,6390,64456,239.2,0.315452286,1735,1085,27,36.8,10.6,26.176650366748166,1,42.145476772616135,154,11.899999999999999
143277,105048,51771,191.3,4.749466103,28610,35,24,36.1,13.0,22.397174703546277,2,38.505831361628175,38229,25.95
17307,11696,77032,263.2,0.195061452,1822,1745,46,31.7,10.5,12.197376783960246,3,35.28630034090253,5611,10.75
31833,26161,44297,191.3,1.055226969,6065,975,24,40.8,13.8,20.789746489492035,2,29.35946973266736,5672,26.0
9038,6036,49399,263.2,0.101864298,2400,1722,46,37.0,14.8,27.506085417127686,2,32.28590396105333,3002,21.65
8940,8674,59219,239.2,0.430951014,2467,1072,27,38.3,10.5,28.982102908277408,1,35.033557046979865,266,10.7
